Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,232.990005,237.220001,229.490005,235.830002,232.047928,1686800
2020-03-09,217.520004,227.110001,215.449997,217.649994,214.159500,2519100
2020-03-10,225.679993,230.520004,217.589996,230.520004,227.702927,3024600
2020-03-11,224.289993,225.539993,216.149994,219.429993,216.748459,1579900
2020-03-12,203.300003,214.080002,197.759995,197.839996,195.422302,3462700
2020-03-13,210.619995,219.889999,199.259995,219.630005,216.946014,2072300
2020-03-16,193.270004,206.580002,190.000000,190.009995,187.687988,1889800
2020-03-17,194.110001,204.559998,187.580002,201.460007,198.998062,1583900
2020-03-18,189.279999,198.000000,183.009995,194.690002,192.310791,3809500
2020-03-19,191.570007,201.559998,187.110001,195.000000,192.617004,1326600
2020-03-20,200.000000,201.919998,186.789993,187.149994,184.862930,1574000
2020-03-23,186.979996,190.330002,179.449997,185.490005,183.223221,1726000
2020-03-24,197.199997,204.949997,196.009995,204.770004,202.267609,1560200
2020-03-25,206.880005,214.119995,200.720001,204.869995,202.366394,1820300
2020-03-26,207.259995,217.940002,207.259995,217.529999,214.871674,1660300
2020-03-27,210.940002,214.539993,207.300003,207.910004,205.369217,1440300
2020-03-30,209.800003,216.500000,209.729996,216.139999,213.498672,1532600
2020-03-31,215.940002,219.250000,210.750000,211.899994,209.310471,1475500
2020-04-01,204.860001,208.800003,200.220001,201.880005,199.412918,1205000
2020-04-02,200.839996,206.320007,200.009995,205.830002,203.314651,761300
2020-04-03,205.050003,207.089996,200.000000,202.509995,200.035217,501600
2020-04-06,211.580002,221.270004,210.169998,219.759995,217.074417,1181100
2020-04-07,228.179993,228.179993,217.860001,218.089996,215.424820,1735400
2020-04-08,220.710007,225.289993,219.039993,224.350006,221.608337,1060900
2020-04-09,227.639999,228.550003,223.220001,224.880005,222.131851,1711700
2020-04-13,224.279999,225.440002,220.619995,225.389999,222.635635,1013700
2020-04-14,230.529999,235.000000,229.509995,234.539993,231.673828,1619400
2020-04-15,229.880005,231.080002,227.589996,229.460007,226.655884,911900
2020-04-16,232.190002,232.539993,228.240005,231.839996,229.006790,1251100
2020-04-17,236.039993,236.330002,232.050003,235.570007,232.691254,1008800
2020-04-20,232.490005,235.300003,231.610001,231.660004,228.829010,1313000
2020-04-21,228.479996,229.000000,220.850006,222.139999,219.425339,1050000
2020-04-22,227.570007,231.740005,226.649994,230.559998,227.742447,673900
2020-04-23,231.130005,233.770004,229.089996,229.380005,226.576859,600800
2020-04-24,230.240005,234.089996,228.710007,233.889999,231.031754,856600
2020-04-27,236.160004,237.009995,235.000000,236.550003,233.659256,886000
2020-04-28,239.500000,239.660004,233.270004,233.550003,230.695908,843100
2020-04-29,238.460007,244.199997,237.750000,243.520004,240.544083,948400
2020-04-30,244.089996,244.089996,240.330002,242.000000,239.042648,837400
2020-05-01,236.570007,239.320007,234.059998,235.050003,232.177567,929700
2020-05-04,233.330002,238.139999,232.570007,237.940002,235.032257,624800
